Date,Close/Last,Vol.,Open,High,Low
12/01/2021,4766.18,-,4623.8,4808.52,4494.2
11/01/2021,4567,-,4616.47,4743.74,4560.26
10/01/2021,4605.38,-,4324.71,4608.7,4278.7
09/01/2021,4307.54,-,4531.04,4544.58,4304.9
08/01/2021,4522.68,-,4415.9,4537.8,4369.2
07/01/2021,4395.26,-,4304.1,4430.2,4232.8
06/01/2021,4297.5,-,4216.52,4302.43,4164.4
05/01/2021,4204.11,-,4191.98,4238.04,4056.88
04/01/2021,4181.17,-,3992.78,4218.78,3992.78
03/01/2021,3972.89,-,3842.51,3994.41,3723.34
02/01/2021,3811.15,-,3731.17,3950.43,3725.62
01/01/2021,3714.24,-,3764.61,3870.9,3662.71
12/01/2020,3756.07,-,3645.87,3760.2,3633.4
11/01/2020,3621.63,-,3296.2,3645.99,3279.74
10/01/2020,3269.96,-,3385.87,3549.85,3233.94
09/01/2020,3363,-,3507.44,3588.11,3209.45
08/01/2020,3500.31,-,3288.26,3514.77,3284.53
07/01/2020,3271.12,-,3105.92,3279.99,3101.17
06/01/2020,3100.29,-,3038.78,3233.13,2965.66
05/01/2020,3044.31,-,2869.09,3068.67,2766.64
04/01/2020,2912.43,-,2498.08,2954.86,2447.49
03/01/2020,2584.59,-,2974.28,3136.72,2191.86
02/01/2020,2954.22,-,3235.66,3393.52,2855.84
01/01/2020,3225.52,-,3244.67,3337.77,3214.64
12/01/2019,3230.78,-,3143.85,3247.93,3070.33
11/01/2019,3140.98,-,3050.72,3154.26,3050.72
10/01/2019,3037.56,-,2983.69,3050.1,2855.94
09/01/2019,2976.74,-,2909.01,3021.99,2891.85
08/01/2019,2926.46,-,2980.32,3013.59,2822.12
07/01/2019,2980.38,-,2971.41,3027.98,2952.22
06/01/2019,2941.76,-,2751.53,2964.15,2728.81
05/01/2019,2752.06,-,2952.33,2954.13,2750.52
04/01/2019,2945.83,-,2848.63,2949.52,2848.63
03/01/2019,2834.4,-,2798.22,2860.31,2722.27
02/01/2019,2784.49,-,2702.32,2813.49,2681.83
01/01/2019,2704.1,-,2476.96,2708.95,2443.96
12/01/2018,2506.85,-,2790.5,2800.18,2346.58
11/01/2018,2760.17,-,2717.58,2815.15,2631.09
10/01/2018,2711.74,-,2926.29,2939.86,2603.54
09/01/2018,2913.98,-,2896.96,2940.91,2864.12
08/01/2018,2901.52,-,2821.17,2916.5,2796.34
07/01/2018,2816.29,-,2704.95,2848.03,2698.95
06/01/2018,2718.37,-,2718.7,2791.47,2691.99
05/01/2018,2705.27,-,2643.64,2742.24,2594.62
04/01/2018,2648.05,-,2633.45,2717.49,2553.8
03/01/2018,2640.87,-,2715.22,2801.9,2585.89
02/01/2018,2713.83,-,2816.45,2835.96,2532.69
01/01/2018,2823.81,-,2683.73,2872.87,2682.36
12/01/2017,2673.61,-,2645.1,2694.97,2605.52
11/01/2017,2647.58,-,2583.21,2657.74,2557.45
10/01/2017,2575.26,-,2521.2,2582.98,2520.4
09/01/2017,2519.36,-,2474.42,2519.44,2446.55
08/01/2017,2471.65,-,2477.1,2490.87,2417.35
07/01/2017,2470.3,-,2431.39,2484.04,2407.7
06/01/2017,2423.41,-,2415.65,2453.82,2405.7
05/01/2017,2411.8,-,2388.5,2418.71,2352.72
04/01/2017,2384.2,-,2362.34,2398.16,2328.95
03/01/2017,2362.72,-,2380.13,2400.98,2322.25
02/01/2017,2363.64,-,2285.59,2371.54,2271.65
01/01/2017,2278.87,-,2251.57,2300.99,2245.13
12/01/2016,2238.83,-,2200.17,2277.53,2187.44
11/01/2016,2198.81,-,2128.68,2214.1,2083.79
10/01/2016,2126.15,-,2164.33,2169.6,2114.72
09/01/2016,2168.27,-,2171.33,2187.87,2119.12
08/01/2016,2170.95,-,2173.15,2193.81,2147.58
07/01/2016,2173.6,-,2099.34,2177.09,2074.02
06/01/2016,2098.86,-,2093.94,2120.55,1991.68
05/01/2016,2096.96,-,2067.17,2103.48,2025.91
04/01/2016,2065.3,-,2056.62,2111.05,2033.8
03/01/2016,2059.74,-,1937.09,2072.21,1937.09
02/01/2016,1932.23,-,1936.94,1962.96,1810.1
01/01/2016,1940.24,-,2038.2,2038.2,1812.29
12/01/2015,2043.94,-,2082.93,2104.27,1993.26
11/01/2015,2080.41,-,2080.76,2116.48,2019.39
10/01/2015,2079.36,-,1919.65,2094.32,1893.7
09/01/2015,1920.03,-,1970.09,2020.86,1871.91
08/01/2015,1972.18,-,2104.49,2112.66,1867.01
07/01/2015,2103.84,-,2067,2132.82,2044.02
06/01/2015,2063.11,-,2108.64,2129.87,2056.32
05/01/2015,2107.39,-,2087.38,2134.72,2067.93
04/01/2015,2085.51,-,2067.63,2125.92,2048.38
03/01/2015,2067.89,-,2105.23,2117.52,2039.69
02/01/2015,2104.5,-,1996.67,2119.59,1980.9
01/01/2015,1994.99,-,2058.9,2072.36,1988.12
12/01/2014,2058.9,-,2065.78,2093.55,1972.56
11/01/2014,2067.56,-,2018.21,2075.76,2001.01
10/01/2014,2018.05,-,1971.44,2018.19,1820.66
09/01/2014,1972.29,-,2004.07,2019.26,1964.04
08/01/2014,2003.37,-,1929.8,2005.04,1904.78
07/01/2014,1930.67,-,1962.29,1991.39,1930.67
06/01/2014,1960.23,-,1923.87,1968.17,1915.98
05/01/2014,1923.57,-,1884.39,1924.03,1859.79
04/01/2014,1883.95,-,1873.96,1897.28,1814.36
03/01/2014,1872.34,-,1857.68,1883.97,1834.44
02/01/2014,1859.45,-,1782.68,1867.92,1737.92
01/01/2014,1782.59,-,1845.86,1850.84,1770.45
12/01/2013,1848.36,-,1806.55,1849.44,1767.99
11/01/2013,1805.81,-,1758.7,1813.55,1746.2
10/01/2013,1756.54,-,1682.41,1775.22,1646.47
09/01/2013,1681.55,-,1635.95,1729.86,1633.41
08/01/2013,1632.97,-,1689.42,1709.67,1627.47
07/01/2013,1685.73,-,1609.78,1698.78,1604.57
06/01/2013,1606.28,-,1631.71,1654.19,1560.33
05/01/2013,1630.74,-,1597.55,1687.18,1581.28
04/01/2013,1597.57,-,1569.18,1597.57,1536.03
03/01/2013,1569.19,-,1514.68,1570.28,1501.48
02/01/2013,1514.68,-,1498.11,1530.94,1485.01
01/01/2013,1498.11,-,1426.19,1509.94,1426.19
12/01/2012,1426.19,-,1416.34,1448,1398.11
11/01/2012,1416.18,-,1412.2,1434.27,1343.35
10/01/2012,1412.16,-,1440.9,1470.96,1403.28
09/01/2012,1440.67,-,1406.54,1474.51,1396.56
08/01/2012,1406.58,-,1379.32,1426.68,1354.65
07/01/2012,1379.32,-,1362.33,1391.74,1325.41
06/01/2012,1362.16,-,1309.87,1363.46,1266.74
05/01/2012,1310.33,-,1397.86,1415.32,1291.98
04/01/2012,1397.91,-,1408.47,1422.38,1357.38
03/01/2012,1408.47,-,1365.9,1419.15,1340.03
02/01/2012,1365.68,-,1312.45,1378.04,1312.45
01/01/2012,1312.41,-,1258.86,1333.47,1258.86
12/01/2011,1257.6,-,1246.91,1269.37,1202.37
11/01/2011,1246.96,-,1251,1277.55,1158.66
10/01/2011,1253.3,-,1131.21,1292.66,1074.77
09/01/2011,1131.42,-,1219.12,1229.29,1114.22
08/01/2011,1218.89,-,1292.59,1307.38,1101.54
07/01/2011,1292.28,-,1320.64,1356.48,1282.86
06/01/2011,1320.64,-,1345.2,1345.2,1258.07
05/01/2011,1345.2,-,1365.21,1370.58,1311.8
04/01/2011,1363.61,-,1329.48,1364.56,1294.7
03/01/2011,1325.83,-,1328.64,1332.28,1249.05
02/01/2011,1327.22,-,1289.14,1344.07,1289.14
01/01/2011,1286.12,-,1257.62,1302.67,1257.62
12/01/2010,1257.64,-,1186.6,1262.6,1186.6
11/01/2010,1180.55,-,1185.71,1227.08,1173
10/01/2010,1183.26,-,1143.49,1196.14,1131.87
09/01/2010,1141.2,-,1049.72,1157.16,1049.72
08/01/2010,1049.33,-,1107.53,1129.24,1039.7
07/01/2010,1101.6,-,1031.1,1120.95,1010.91
06/01/2010,1030.71,-,1087.3,1131.23,1028.33
05/01/2010,1089.41,-,1188.58,1205.13,1040.78
04/01/2010,1186.69,-,1171.23,1219.8,1170.69
03/01/2010,1169.43,-,1105.36,1180.69,1105.36
02/01/2010,1104.49,-,1073.89,1112.42,1044.5
01/01/2010,1073.87,-,1116.56,1150.45,1071.59
12/01/2009,1115.1,-,1098.89,1130.38,1085.89
11/01/2009,1095.63,-,1036.18,1113.69,1029.38
10/01/2009,1036.19,-,1054.91,1101.36,1019.95
09/01/2009,1057.08,-,1019.52,1080.15,991.97
08/01/2009,1020.62,-,990.22,1039.47,978.51
07/01/2009,987.48,-,920.82,996.68,869.32
06/01/2009,919.32,-,923.26,956.23,888.86
05/01/2009,919.14,-,872.74,930.17,866.1
04/01/2009,872.81,-,793.59,888.7,783.32
03/01/2009,797.87,-,729.57,832.98,666.79
02/01/2009,735.09,-,823.09,875.01,734.52
01/01/2009,825.88,-,902.99,943.85,804.3
12/01/2008,903.25,-,888.61,918.85,815.69
11/01/2008,896.24,-,968.67,1007.51,741.02
10/01/2008,968.75,-,1164.17,1167.03,839.8
09/01/2008,1166.36,-,1287.83,1303.04,1106.39
08/01/2008,1282.83,-,1269.42,1313.15,1247.45
07/01/2008,1267.38,-,1276.69,1292.17,1200.44
06/01/2008,1280,-,1399.62,1404.05,1272
05/01/2008,1400.38,-,1385.97,1440.24,1373.07
04/01/2008,1385.59,-,1326.41,1404.57,1324.35
03/01/2008,1322.7,-,1330.45,1359.68,1256.98
02/01/2008,1330.63,-,1378.6,1396.02,1316.75
01/01/2008,1378.55,-,1467.97,1471.77,1270.05
12/01/2007,1468.36,-,1479.63,1523.57,1435.65
11/01/2007,1481.14,-,1545.79,1545.79,1406.1
10/01/2007,1549.38,-,1527.29,1576.09,1489.56
09/01/2007,1526.75,-,1473.96,1538.74,1439.29
08/01/2007,1473.99,-,1455.18,1503.89,1370.6
07/01/2007,1455.27,-,1504.66,1555.9,1454.25
06/01/2007,1503.35,-,1530.62,1540.56,1484.18
05/01/2007,1530.62,-,1482.37,1535.56,1476.7
04/01/2007,1482.37,-,1420.83,1498.02,1416.37
03/01/2007,1420.86,-,1406.8,1438.89,1363.98
02/01/2007,1406.82,-,1437.9,1461.57,1389.42
01/01/2007,1438.24,-,1418.03,1441.61,1403.97
12/01/2006,1418.3,-,1400.63,1431.81,1385.93
11/01/2006,1400.63,-,1377.76,1407.89,1360.98
10/01/2006,1377.94,-,1335.82,1389.45,1327.1
09/01/2006,1335.85,-,1303.8,1340.28,1290.93
08/01/2006,1303.82,-,1278.53,1306.74,1261.3
07/01/2006,1276.66,-,1270.06,1280.42,1224.54
06/01/2006,1270.2,-,1270.05,1290.68,1219.29
05/01/2006,1270.09,-,1310.61,1326.7,1245.34
04/01/2006,1310.61,-,1302.88,1318.16,1280.74
03/01/2006,1294.83,-,1280.66,1310.88,1268.42
02/01/2006,1280.66,-,1280.08,1297.57,1253.61
01/01/2006,1280.08,-,1248.29,1294.9,1245.74
12/01/2005,1248.29,-,1249.48,1275.8,1246.59
11/01/2005,1249.48,-,1207.01,1270.64,1201.07
10/01/2005,1207.01,-,1228.81,1233.34,1168.2
09/01/2005,1228.81,-,1220.33,1243.13,1205.35
08/01/2005,1220.33,-,1234.18,1245.86,1201.07
07/01/2005,1234.18,-,1191.33,1245.15,1183.55
06/01/2005,1191.33,-,1191.5,1219.59,1188.3
05/01/2005,1191.5,-,1156.85,1199.56,1146.18
04/01/2005,1156.85,-,1180.59,1191.88,1136.15
03/01/2005,1180.59,-,1203.6,1229.11,1163.69
02/01/2005,1203.6,-,1181.27,1212.44,1180.95
01/01/2005,1181.27,-,1211.92,1217.9,1163.75
12/01/2004,1211.92,-,1173.78,1217.33,1173.76
11/01/2004,1173.82,-,1130.2,1188.46,1127.53
10/01/2004,1130.2,-,1114.58,1142.05,1090.19
09/01/2004,1114.58,-,1104.24,1131.54,1099.11
08/01/2004,1104.24,-,1101.72,1109.68,1060.72
07/01/2004,1101.72,-,1140.84,1140.84,1078.78
06/01/2004,1140.84,-,1120.68,1146.34,1113.32
05/01/2004,1120.68,-,1107.3,1127.74,1076.32
04/01/2004,1107.3,-,1126.21,1150.57,1107.23
03/01/2004,1126.21,-,1144.94,1163.23,1087.06
02/01/2004,1144.94,-,1131.13,1158.98,1124.44
01/01/2004,1131.13,-,1111.92,1155.38,1105.08
12/01/2003,1111.92,-,1058.2,1112.56,1053.41
11/01/2003,1058.2,-,1050.71,1063.65,1031.2
10/01/2003,1050.71,-,995.97,1053.79,995.97
09/01/2003,995.97,-,1008.01,1040.29,990.36
08/01/2003,1008.01,-,990.31,1011.01,960.84
07/01/2003,993.32,-,974.5,1015.41,962.1
06/01/2003,974.5,-,963.59,1015.33,963.59
05/01/2003,963.59,-,916.92,965.38,902.83
04/01/2003,916.92,-,848.18,924.24,847.85
03/01/2003,848.18,-,841.15,895.9,788.9
02/01/2003,841.15,-,855.7,864.64,806.29
01/01/2003,855.7,-,879.82,935.05,840.34
12/01/2002,879.82,-,936.31,954.28,869.45
11/01/2002,936.31,-,885.76,941.82,872.05
10/01/2002,885.76,-,815.28,907.44,768.63
09/01/2002,815.28,-,916.07,924.02,800.2
08/01/2002,916.07,-,911.62,965,833.44
07/01/2002,911.62,-,989.82,994.46,775.68
06/01/2002,989.82,-,1067.14,1070.74,952.92
05/01/2002,1067.14,-,1076.92,1106.59,1048.96
04/01/2002,1076.92,-,1147.39,1147.84,1063.46
03/01/2002,1147.39,-,1106.73,1173.94,1106.73
02/01/2002,1106.73,-,1130.2,1130.2,1074.36
01/01/2002,1130.2,-,1148.08,1176.97,1081.66
12/01/2001,1148.08,-,1139.45,1173.62,1114.53
11/01/2001,1139.45,-,1059.78,1163.38,1054.31
10/01/2001,1059.78,-,1040.94,1110.61,1026.76
09/01/2001,1040.94,-,1133.58,1155.4,944.75
08/01/2001,1133.58,-,1211.23,1226.27,1124.87
07/01/2001,1211.23,-,1224.42,1239.78,1165.54
06/01/2001,1224.38,-,1255.82,1286.62,1203.03
05/01/2001,1255.82,-,1249.46,1315.93,1232
04/01/2001,1249.46,-,1160.33,1269.3,1091.99
03/01/2001,1160.33,-,1239.94,1267.42,1081.19
02/01/2001,1239.94,-,1366.01,1376.38,1215.44
01/01/2001,1366.01,-,1320.28,1383.37,1274.62
12/01/2000,1320.28,-,1314.95,1389.05,1254.07
11/01/2000,1314.95,-,1429.4,1438.46,1294.9
10/01/2000,1429.4,-,1436.52,1454.82,1305.79
09/01/2000,1436.51,-,1517.68,1530.09,1419.44
08/01/2000,1517.68,-,1430.83,1525.21,1425.43
07/01/2000,1430.83,-,1454.6,1517.32,1413.89
06/01/2000,1454.6,-,1420.6,1488.93,1420.6
05/01/2000,1420.6,-,1452.43,1481.51,1361.09
04/01/2000,1452.43,-,1498.58,1527.19,1339.4
03/01/2000,1498.58,-,1366.42,1552.87,1346.62
02/01/2000,1366.42,-,1394.46,1444.55,1325.07
01/01/2000,1394.46,-,1469.25,1478,1350.14
12/01/1999,1469.25,-,1388.91,1473.1,1387.38
11/01/1999,1388.91,-,1362.93,1425.31,1346.41
10/01/1999,1362.93,-,1282.71,1373.17,1233.7
09/01/1999,1282.71,-,1320.41,1361.39,1256.26
08/01/1999,1320.41,-,1328.72,1382.84,1267.73
07/01/1999,1328.72,-,1372.71,1420.33,1328.49
06/01/1999,1372.71,-,1301.84,1372.93,1277.47
05/01/1999,1301.84,-,1335.18,1375.98,1277.31
04/01/1999,1335.18,-,1286.37,1371.56,1282.56
03/01/1999,1286.37,-,1238.33,1323.82,1216.03
02/01/1999,1238.33,-,1279.64,1283.84,1211.89
01/01/1999,1279.64,-,1229.23,1280.37,1205.46
12/01/1998,1229.23,-,1163.63,1244.93,1136.89
11/01/1998,1163.63,-,1098.67,1192.97,1098.67
10/01/1998,1098.67,-,1017.01,1103.78,923.32
09/01/1998,1017.01,-,957.28,1066.11,939.98
08/01/1998,957.28,-,1120.67,1121.79,957.28
07/01/1998,1120.67,-,1133.84,1190.58,1114.3
06/01/1998,1133.84,-,1090.82,1145.15,1074.67
05/01/1998,1090.82,-,1111.75,1130.52,1074.39
04/01/1998,1111.75,-,1101.75,1132.98,1076.7
03/01/1998,1101.75,-,1049.34,1113.07,1030.87
02/01/1998,1049.34,-,980.28,1051.66,980.28
01/01/1998,980.28,-,970.43,992.65,912.83
12/01/1997,970.43,-,955.4,986.25,924.92
11/01/1997,955.4,-,914.62,964.55,900.61
10/01/1997,914.62,-,947.28,983.12,855.27
09/01/1997,947.28,-,899.47,960.59,899.47
08/01/1997,899.47,-,954.29,964.17,893.34
07/01/1997,954.31,-,885.14,957.73,884.54
06/01/1997,885.14,-,848.28,902.09,838.82
